created_on,source,industry,Product
11/14/2016,Referral,IT,GTXPlusPro
11/14/2016,Social,IT,MGRPFU
11/14/2016,Paid,SaaS,GTK500U
11/14/2016,Direct,SaaS,MGRPFU
11/15/2016,Organic,Health Care,GTXPlusPro
11/15/2016,Email,Finance,MGRPFS
11/15/2016,Paid,SaaS,MGRPFU
11/19/2016,Email,Telecom,GTK500U
11/19/2016,Social,Finance,GTXPlusBasic
11/19/2016,Direct,Finance,GTK500U
11/20/2016,Paid,Finance,GTXAdvanced
11/20/2016,Email,Finance,GTK500U
11/20/2016,Paid,SaaS,GTXAdvanced
11/20/2016,Social,Health Care,GTXPlusBasic
11/20/2016,Referral,Education,MGRPFU
11/21/2016,Referral,IT,GTXPlusBasic
11/21/2016,Email,IT,GTXPlusBasic
11/21/2016,Direct,SaaS,GTXAdvanced
11/25/2016,Organic,Finance,GTXPro
11/25/2016,Organic,Telecom,GTXPlusPro
11/25/2016,Social,Telecom,MGRPFU
11/25/2016,Paid,SaaS,GTXPlusPro
11/25/2016,Direct,Telecom,GTXPro
11/25/2016,Referral,SaaS,MGRPFS
11/29/2016,Direct,IT,GTXAdvanced
11/29/2016,Direct,SaaS,MGRPFU
11/29/2016,Organic,Health Care,GTXPlusPro
11/29/2016,Paid,Education,MGRPFU
11/29/2016,Organic,Health Care,GTXPlusPro
12/1/2016,Paid,SaaS,GTXPro
12/1/2016,Social,Telecom,GTXPlusPro
12/1/2016,Direct,Education,GTXAdvanced
12/1/2016,Email,Retail/Entertainment,GTXPlusPro
12/1/2016,Paid,SaaS,GTXAdvanced
12/1/2016,Referral,Education,GTXBasic
12/1/2016,Referral,Education,GTXAdvanced
12/2/2016,Paid,Retail/Entertainment,GTXAdvanced
12/2/2016,Direct,Finance,GTXBasic
12/2/2016,Direct,IT,GTXAdvanced
12/2/2016,Direct,SaaS,GTXAdvanced
12/2/2016,Email,Telecom,GTXPlusBasic
12/2/2016,Referral,Retail/Entertainment,GTXBasic
12/4/2016,Social,SaaS,GTXAdvanced
12/4/2016,Paid,Finance,GTXPlusPro
12/6/2016,Paid,SaaS,GTXPro
12/6/2016,Paid,Finance,GTXAdvanced
12/6/2016,Social,Retail/Entertainment,GTXPlusBasic
12/6/2016,Paid,Retail/Entertainment,GTXPlusPro
12/6/2016,Organic,Health Care,GTK500U
12/8/2016,Referral,Retail/Entertainment,GTXAdvanced
12/8/2016,Organic,SaaS,GTXPlusBasic
12/8/2016,Social,Retail/Entertainment,GTXBasic
12/8/2016,Direct,Retail/Entertainment,GTXBasic
12/8/2016,Paid,Telecom,MGRPFU
12/8/2016,Social,Health Care,GTXPro
12/8/2016,Social,Health Care,GTXBasic
12/8/2016,Direct,SaaS,MGRPFS
12/9/2016,Paid,Retail/Entertainment,GTXBasic
12/9/2016,Social,Telecom,GTK500U
12/9/2016,Paid,Retail/Entertainment,GTXAdvanced
12/11/2016,Social,Education,GTK500U
12/11/2016,Email,Finance,GTXPlusPro
12/11/2016,Paid,Retail/Entertainment,GTXBasic
12/11/2016,Referral,SaaS,GTXPlusBasic
12/11/2016,Social,Retail/Entertainment,MGRPFU
12/11/2016,Paid,SaaS,GTK500U
12/12/2016,Social,Finance,GTXPlusPro
12/12/2016,Referral,Health Care,GTXPro
12/12/2016,Paid,Education,GTXAdvanced
12/13/2016,Referral,SaaS,GTK500U
12/13/2016,Direct,SaaS,GTXAdvanced
12/15/2016,Organic,Health Care,GTXBasic
12/15/2016,Organic,SaaS,GTXPro
12/16/2016,Email,Telecom,GTXPlusBasic
12/16/2016,Direct,IT,MGRPFU
12/16/2016,Paid,SaaS,GTXPlusPro
12/16/2016,Email,SaaS,GTXPlusBasic
12/16/2016,Referral,IT,GTXPro
12/16/2016,Paid,Telecom,GTK500U
12/17/2016,Referral,Retail/Entertainment,GTXBasic
12/17/2016,Paid,Retail/Entertainment,GTK500U
12/17/2016,Email,Finance,GTK500U
12/18/2016,Direct,IT,GTXBasic
12/18/2016,Organic,Finance,MGRPFU
12/18/2016,Email,IT,GTXBasic
12/18/2016,Direct,Health Care,MGRPFS
12/18/2016,Paid,Finance,GTXPlusPro
12/18/2016,Social,Telecom,GTXAdvanced
12/18/2016,Email,Finance,GTXAdvanced
12/18/2016,Direct,Health Care,GTK500U
12/18/2016,Organic,Telecom,MGRPFS
12/18/2016,Direct,IT,MGRPFU
12/18/2016,Paid,Finance,GTXPlusBasic
12/18/2016,Email,Education,GTXAdvanced
12/18/2016,Social,SaaS,GTXBasic
12/18/2016,Organic,IT,GTXAdvanced
12/19/2016,Direct,SaaS,GTXPro
12/19/2016,Organic,SaaS,GTXBasic
12/19/2016,Referral,IT,GTXPlusBasic
12/19/2016,Direct,Finance,MGRPFU
12/21/2016,Email,Telecom,GTXPro
12/21/2016,Direct,SaaS,GTXPro
12/21/2016,Direct,Retail/Entertainment,GTXPlusBasic
12/22/2016,Direct,Retail/Entertainment,MGRPFS
12/22/2016,Paid,SaaS,MGRPFU
12/22/2016,Paid,IT,MGRPFS
12/22/2016,Email,Finance,GTXBasic
12/22/2016,Organic,SaaS,GTXPro
12/22/2016,Organic,SaaS,GTK500U
12/22/2016,Paid,SaaS,MGRPFS
12/22/2016,Direct,Telecom,MGRPFU
12/23/2016,Social,Finance,GTXPro
12/23/2016,Referral,Telecom,GTXBasic
12/24/2016,Paid,Telecom,GTK500U
12/24/2016,Direct,SaaS,GTXBasic
12/24/2016,Organic,Education,GTXAdvanced
12/25/2016,Paid,SaaS,MGRPFS
12/25/2016,Organic,Retail/Entertainment,GTXPro
12/25/2016,Email,Finance,MGRPFS
